index,longitude,latitude,section,route,distance_miles,distance_kilometers,avg_time_to_complete
1,-4.7362012,56.0032762,1,Helensburgh to Balloch,9,14.4,1.5
2,-4.7359357,56.0032308,1,Helensburgh to Balloch,9,14.4,1.5
3,-4.7352374,56.0046052,1,Helensburgh to Balloch,9,14.4,1.5
4,-4.7348597,56.0052991,1,Helensburgh to Balloch,9,14.4,1.5
5,-4.7345872,56.0058848,1,Helensburgh to Balloch,9,14.4,1.5
6,-4.733533,56.0079596,1,Helensburgh to Balloch,9,14.4,1.5
7,-4.7332934,56.008407,1,Helensburgh to Balloch,9,14.4,1.5
8,-4.7322868,56.0103354,1,Helensburgh to Balloch,9,14.4,1.5
9,-4.7318106,56.0113491,1,Helensburgh to Balloch,9,14.4,1.5
10,-4.7312893,56.0123748,1,Helensburgh to Balloch,9,14.4,1.5
11,-4.7292386,56.0120038,1,Helensburgh to Balloch,9,14.4,1.5
12,-4.7291896,56.0120994,1,Helensburgh to Balloch,9,14.4,1.5
13,-4.7291123,56.0122776,1,Helensburgh to Balloch,9,14.4,1.5
14,-4.7290649,56.0123592,1,Helensburgh to Balloch,9,14.4,1.5
15,-4.7309623,56.0126718,1,Helensburgh to Balloch,9,14.4,1.5
16,-4.7310394,56.0127218,1,Helensburgh to Balloch,9,14.4,1.5
17,-4.7310267,56.012816,1,Helensburgh to Balloch,9,14.4,1.5
18,-4.7307216,56.0133618,1,Helensburgh to Balloch,9,14.4,1.5
19,-4.7306142,56.0135756,1,Helensburgh to Balloch,9,14.4,1.5
20,-4.7301963,56.0143719,1,Helensburgh to Balloch,9,14.4,1.5
21,-4.7297353,56.015321900000004,1,Helensburgh to Balloch,9,14.4,1.5
22,-4.7285394,56.0176321,1,Helensburgh to Balloch,9,14.4,1.5
23,-4.7284208,56.0178058,1,Helensburgh to Balloch,9,14.4,1.5
24,-4.7283237,56.0178518,1,Helensburgh to Balloch,9,14.4,1.5
25,-4.7281252,56.0178203,1,Helensburgh to Balloch,9,14.4,1.5
26,-4.7280108,56.0179783,1,Helensburgh to Balloch,9,14.4,1.5
27,-4.7279562,56.0180054,1,Helensburgh to Balloch,9,14.4,1.5
28,-4.7276836,56.018103,1,Helensburgh to Balloch,9,14.4,1.5
29,-4.727362,56.0181773,1,Helensburgh to Balloch,9,14.4,1.5
30,-4.7270335,56.0181773,1,Helensburgh to Balloch,9,14.4,1.5
31,-4.7268238,56.0180561,1,Helensburgh to Balloch,9,14.4,1.5
32,-4.7266421,56.0177866,1,Helensburgh to Balloch,9,14.4,1.5
33,-4.72667,56.017642,1,Helensburgh to Balloch,9,14.4,1.5
34,-4.7264603,56.0175951,1,Helensburgh to Balloch,9,14.4,1.5
35,-4.7260479,56.0174467,1,Helensburgh to Balloch,9,14.4,1.5
36,-4.7256215,56.0173255,1,Helensburgh to Balloch,9,14.4,1.5
37,-4.7251252,56.0171927,1,Helensburgh to Balloch,9,14.4,1.5
38,-4.7237762,56.0168215,1,Helensburgh to Balloch,9,14.4,1.5
39,-4.7233498,56.0166223,1,Helensburgh to Balloch,9,14.4,1.5
40,-4.7232469,56.0165071,1,Helensburgh to Balloch,9,14.4,1.5
41,-4.7226095,56.0166777,1,Helensburgh to Balloch,9,14.4,1.5
42,-4.7189897,56.0175232,1,Helensburgh to Balloch,9,14.4,1.5
43,-4.7168628,56.0180863,1,Helensburgh to Balloch,9,14.4,1.5
44,-4.7165998,56.0180787,1,Helensburgh to Balloch,9,14.4,1.5
45,-4.7160166,56.0182253,1,Helensburgh to Balloch,9,14.4,1.5
46,-4.7142487,56.0187354,1,Helensburgh to Balloch,9,14.4,1.5
